Order,Channel
1,Au
2,Calprotectin
3,CD3
4,CD4
5,CD8
6,CD11c_nuc_exclude
7,CD11c
8,CD14
9,CD20
10,CD31
11,CD38
12,CD45
13,CD45RB
14,CD45RO
15,CD56
16,CD57
17,CD68
18,CD69
19,CD163
20,ChyTr
21,CK17_smoothed
22,CK17
23,Collagen1
24,ECAD_smoothed
25,ECAD
26,FAP
27,Fe
28,Fibronectin
29,FOXP3_nuc_include
30,FOXP3
31,GLUT1
32,H3K9ac
33,H3K27me3
34,HLA1
35,HLADR
36,IDO
37,Ki67
38,LAG3
39,Noodle
40,PD1
41,PDL1
42,SMA
43,TBET
44,TCF1
45,TIM3
46,Vim
47,chan_39
48,chan_45
49,chan_48
50,chan_115
51,chan_141